DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Crm Cd Desc	Mocodes	Vict Age	Vict Sex	Vict Descent	Premis Cd	Premis Desc	Weapon Used Cd	Weapon Desc	Status	Status Desc	Crm Cd 1	Crm Cd 2	Crm Cd 3	Crm Cd 4	LOCATION	Cross Street	LAT	LON
200315252	08/04/2020 12:00:00 AM	07/22/2020 12:00:00 AM	1230	03	Southwest	0327	1	341	THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD	0344 1822 2032	32	F	O	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	341	N/A	N/A	N/A	1100 W  28TH                         ST	N/A	34.0294	-118.2846
200712996	08/21/2020 12:00:00 AM	08/21/2020 12:00:00 AM	0930	07	Wilshire	0753	1	420	THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)	N/A	0	N/A	N/A	101	STREET	N/A	N/A	IC	Invest Cont	420	N/A	N/A	N/A	1100 S  FAIRFAX                      AV	N/A	34.0554	-118.3651
201222673	10/15/2020 12:00:00 AM	10/15/2020 12:00:00 AM	1920	12	77th Street	1258	1	230	ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT	0449 0443 0305 0913 2004	19	X	X	101	STREET	200	KNIFE WITH BLADE 6INCHES OR LESS	AO	Adult Other	230	N/A	N/A	N/A	83RD                         ST	SAN PEDRO                    ST	33.9713	-118.2739
200812312	07/26/2020 12:00:00 AM	07/26/2020 12:00:00 AM	1330	08	West LA	0899	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	101	STREET	N/A	N/A	AO	Adult Other	510	N/A	N/A	N/A	2600 S  CORNING                      ST	N/A	34.0348	-118.3822
201213100	05/18/2020 12:00:00 AM	05/18/2020 12:00:00 AM	1845	12	77th Street	1205	1	310	BURGLARY	0358 1607 1822 0321 0329 0344	36	M	B	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	310	N/A	N/A	N/A	1400 W  49TH                         ST	N/A	33.9992	-118.3002
200207550	03/08/2020 12:00:00 AM	03/08/2020 12:00:00 AM	2145	02	Rampart	0257	1	230	ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT	1206 1218 0334 0411 0445 0369 1817 0443 0913	37	M	H	102	SIDEWALK	200	KNIFE WITH BLADE 6INCHES OR LESS	IC	Invest Cont	230	N/A	N/A	N/A	7TH                          ST	VALENCIA	34.0531	-118.2694
201116813	12/20/2020 12:00:00 AM	12/20/2020 12:00:00 AM	0023	11	Northeast	1136	2	625	OTHER ASSAULT	0400 0416 0429 1822 1309	43	M	W	108	PARKING LOT	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AO	Adult Other	625	N/A	N/A	N/A	4400    EAGLE ROCK                   BL	N/A	34.1243	-118.2205
200410882	07/17/2020 12:00:00 AM	07/17/2020 12:00:00 AM	0700	04	Hollenbeck	0413	1	440	THEFT PLAIN - PETTY ($950 & UNDER)	0344	31	M	W	101	STREET	N/A	N/A	IC	Invest Cont	440	N/A	N/A	N/A	100 E  AVENUE 33	N/A	34.083	-118.2137
201108622	04/22/2020 12:00:00 AM	04/20/2020 12:00:00 AM	1900	11	Northeast	1141	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	108	PARKING LOT	N/A	N/A	IC	Invest Cont	510	N/A	N/A	N/A	1700 N  MARIPOSA                     AV	N/A	34.1018	-118.2995
201115204	10/28/2020 12:00:00 AM	10/25/2020 12:00:00 AM	0800	11	Northeast	1109	1	310	BURGLARY	0397 1822 0344 0358	42	M	W	120	STORAGE SHED	218	OTHER CUTTING INSTRUMENT	IC	Invest Cont	310	N/A	N/A	N/A	1300    COLORADO                     BL	N/A	34.139	-118.1935
